【咬人猫】Love Me If You Can??o(*≧▽≦)ツ,BV1Ax411a72W,"这次尝试了挑战帅气性感的舞，舞蹈的部分是越练习越觉得难，越去在意细节越喜欢aty两位w,也更能发现自己的不足，总之在舞蹈上我还需要继续努力！希望可以让看视频的大家看的开心w也希望未来，自己可以更游刃有余的跳出这种类舞洒脱的感觉～
服装是根据...",718.5万,2017/6/3,=咬人猫=
【摸鱼神器】在桌面上养了个祖宗是什么体验,BV1Ha411b7SW,"还记得曾经那个活蹦乱跳的QQ宠物吗？
这只古灵精怪的小企鹅承载了不少人的回忆
它的离去让我们的桌面无趣了许多
但我们的摸鱼事业还得继续
这5款桌宠和Q宠一样，值得你的信赖。",688.5万,2022/3/11,上官北丶
Aimer×碧蓝航线5周年主题曲《wavy flow》全球首发！,BV1i94y1S7Np,"十指相扣，相约碧蓝。
“未来与希望”是《wavy??flow》的主题，希望即使雾霭阴霾、前路未卜，我们都能坚守终会拨云见日的信念，共同追寻奇迹。
“来吧，去追逐我们的约定”，是《wavy??flow》的内涵，希望不论明日迎面的是风微浪稳抑或暗礁...",686.4万,2022/6/1,碧蓝航线
【碧蓝航线 X EGOIST】4周年主题曲《绝体绝命》独家首发！,BV11b4y1o7NZ,"由EGOIST献唱的《碧蓝航线》4周年主题曲——《绝体绝命》MV独家首发！
这是EGOIST时隔一年推出的全新单曲，歌曲表达了不管前路险阻，指挥官们与舰船们都会一同跨越困境，并肩作战、携手前进之意。肆时流光记，千帆碧海情，感谢各位指挥官们4...",556.4万,2021/6/1,碧蓝航线
观看一分钟。。。没人能活过一分钟,BV11E411e7M8,"修改了新片尾
素材见评论
bgm；桃箱 - ササクレパンダ
占用大佬们2分钟的时间，希望可以看完
●如果不麻烦的话，请各位多发几个弹幕
●如果条件允许的话，观众姥爷们不妨点下收藏哄哄up，几天过后丢出来也行，非常感谢",484.4万,2019/11/12,血小板????????????
关于我女装&amp;quot;破次元&amp;quot;上街 而朋友社死了这件事,BV1Be4y1r71G,"这期视频很长！所以我认真制作啦
做一期整活的视频
其实比我想象中的成本要大
不知道大家有没有发现
其实我已经面临了创作瓶颈的问题
所以这期视频还有另外一个意义
尝试新东西。
这一期的视频就是想尝试一下我能不能
拍出有质量的线下视频
也暗示了...",454.4万,2022/10/2,恩祈儿
本子最多的角色 【比较排名】,BV1Ha411F7AV,"本子最多的角色 【比较排名】
数据来源于网络，仅供参考，杠精和键盘侠请勿出没！
制作不易，路哥求大家三连关注支持~~~~~~~~~~~",430.9万,2020/11/30,_江之岛盾子_
加微信挑战！在漫展能加到几个Coser的微信！？——视角姬vlog,BV174411V7mS,这周去了上海的CP漫展，在拍摄之余，我还尝试做了一个加Coser小姐姐的微信挑战，猜猜我加到了谁？,414.8万,2019/6/15,视角姬
他好像什么都玩了，但又好像什么都没玩,BV1934y1b7EE,"为了这期视频，我写了一个月的稿，月假肝到凌晨四点，还买了一个300大洋的麦克风！
这期视频真的很不容易做，我用了很多心思，真心希望你们能喜欢，也希望它能被更多人看到！
喜欢的小伙伴们不妨动一下你们的小手点一个免费的顶，让你们热爱的游戏出圈！...",343.8万,2022/3/5,某哲君丶
港区温泉活动拍摄Coser小姐姐真开心呀——视角姬vlog,BV1S4411K7ey,"这周去了碧蓝航线的温泉限定活动，里面有好多好看的coser小姐姐，为了拍这期视频我也是累死了，大家给多点硬币吧！
视频BGM：
SNKS - 相遇  av号： av39381243
FANTASY??VOCALOID - 【FV-RA07】激...",328.4万,2019/6/8,视角姬
